region_code, weather_param, year, key, value
UK,Sunshine,1998,Jan,43.5
UK,Sunshine,1998,Feb,69.3
UK,Sunshine,1998,March,71.2
UK,Sunshine,1998,April,126.1
UK,Sunshine,1998,May,186.0
UK,Sunshine,1998,June,139.3
UK,Sunshine,1998,July,133.3
UK,Sunshine,1998,August,172.8
UK,Sunshine,1998,September,114.2
UK,Sunshine,1998,October,97.1
UK,Sunshine,1998,November,64.4
UK,Sunshine,1998,December,33.2
UK,Sunshine,1999,Jan,48.8
UK,Sunshine,1999,Feb,74.7
UK,Sunshine,1999,March,105.6
UK,Sunshine,1999,April,145.7
UK,Sunshine,1999,May,157.5
UK,Sunshine,1999,June,166.9
UK,Sunshine,1999,July,206.5
UK,Sunshine,1999,August,149.4
UK,Sunshine,1999,September,134.2
UK,Sunshine,1999,October,102.1
UK,Sunshine,1999,November,59.9
UK,Sunshine,1999,December,46.9
UK,Sunshine,2000,Jan,56.1
UK,Sunshine,2000,Feb,80.6
UK,Sunshine,2000,March,103.2
UK,Sunshine,2000,April,133.6
UK,Sunshine,2000,May,208.0
UK,Sunshine,2000,June,155.2
UK,Sunshine,2000,July,153.4
UK,Sunshine,2000,August,171.6
UK,Sunshine,2000,September,108.1
UK,Sunshine,2000,October,86.9
UK,Sunshine,2000,November,53.6
UK,Sunshine,2000,December,38.9
UK,Sunshine,2001,Jan,66.9
UK,Sunshine,2001,Feb,83.4
UK,Sunshine,2001,March,100.7
UK,Sunshine,2001,April,135.3
UK,Sunshine,2001,May,220.0
UK,Sunshine,2001,June,168.6
UK,Sunshine,2001,July,160.1
UK,Sunshine,2001,August,160.3
UK,Sunshine,2001,September,108.2
UK,Sunshine,2001,October,88.7
UK,Sunshine,2001,November,55.3
UK,Sunshine,2001,December,64.3
UK,Sunshine,2002,Jan,37.0
UK,Sunshine,2002,Feb,68.0
UK,Sunshine,2002,March,110.2
UK,Sunshine,2002,April,171.3
UK,Sunshine,2002,May,173.0
UK,Sunshine,2002,June,150.1
UK,Sunshine,2002,July,140.2
UK,Sunshine,2002,August,148.7
UK,Sunshine,2002,September,138.5
UK,Sunshine,2002,October,86.2
UK,Sunshine,2002,November,49.5
UK,Sunshine,2002,December,30.9
UK,Sunshine,2003,Jan,59.8
UK,Sunshine,2003,Feb,93.3
UK,Sunshine,2003,March,157.7
UK,Sunshine,2003,April,181.7
UK,Sunshine,2003,May,170.9
UK,Sunshine,2003,June,191.5
UK,Sunshine,2003,July,158.1
UK,Sunshine,2003,August,198.0
UK,Sunshine,2003,September,145.7
UK,Sunshine,2003,October,120.6
UK,Sunshine,2003,November,64.5
UK,Sunshine,2003,December,44.9
UK,Sunshine,2004,Jan,42.6
UK,Sunshine,2004,Feb,86.9
UK,Sunshine,2004,March,109.6
UK,Sunshine,2004,April,124.3
UK,Sunshine,2004,May,196.7
UK,Sunshine,2004,June,168.9
UK,Sunshine,2004,July,153.1
UK,Sunshine,2004,August,162.9
UK,Sunshine,2004,September,141.4
UK,Sunshine,2004,October,83.8
UK,Sunshine,2004,November,45.5
UK,Sunshine,2004,December,45.3
UK,Sunshine,2005,Jan,47.7
UK,Sunshine,2005,Feb,69.2
UK,Sunshine,2005,March,81.9
UK,Sunshine,2005,April,147.4
UK,Sunshine,2005,May,204.8
UK,Sunshine,2005,June,169.1
UK,Sunshine,2005,July,163.8
UK,Sunshine,2005,August,184.1
UK,Sunshine,2005,September,132.0
UK,Sunshine,2005,October,73.3
UK,Sunshine,2005,November,78.5
UK,Sunshine,2005,December,47.1
UK,Sunshine,2006,Jan,45.0
UK,Sunshine,2006,Feb,67.9
UK,Sunshine,2006,March,89.0
UK,Sunshine,2006,April,164.1
UK,Sunshine,2006,May,179.5
UK,Sunshine,2006,June,210.4
UK,Sunshine,2006,July,253.3
UK,Sunshine,2006,August,137.8
UK,Sunshine,2006,September,140.1
UK,Sunshine,2006,October,86.6
UK,Sunshine,2006,November,78.6
UK,Sunshine,2006,December,43.2
UK,Sunshine,2007,Jan,51.8
UK,Sunshine,2007,Feb,67.3
UK,Sunshine,2007,March,142.8
UK,Sunshine,2007,April,203.5
UK,Sunshine,2007,May,175.1
UK,Sunshine,2007,June,142.3
UK,Sunshine,2007,July,160.7
UK,Sunshine,2007,August,170.0
UK,Sunshine,2007,September,130.0
UK,Sunshine,2007,October,101.8
UK,Sunshine,2007,November,58.8
UK,Sunshine,2007,December,46.3
UK,Sunshine,2008,Jan,39.8
UK,Sunshine,2008,Feb,102.8
UK,Sunshine,2008,March,116.6
UK,Sunshine,2008,April,155.3
UK,Sunshine,2008,May,201.7
UK,Sunshine,2008,June,179.8
UK,Sunshine,2008,July,166.6
UK,Sunshine,2008,August,105.0
UK,Sunshine,2008,September,103.0
UK,Sunshine,2008,October,110.3
UK,Sunshine,2008,November,54.0
UK,Sunshine,2008,December,54.0
UK,Sunshine,2009,Jan,51.9
UK,Sunshine,2009,Feb,52.0
UK,Sunshine,2009,March,137.9
UK,Sunshine,2009,April,160.3
UK,Sunshine,2009,May,211.3
UK,Sunshine,2009,June,204.6
UK,Sunshine,2009,July,168.9
UK,Sunshine,2009,August,155.6
UK,Sunshine,2009,September,129.2
